Regional Office,Industrial Area,Total Plots Available,Current Rate (Rs/sq meter)
RO THANE-II,Murbad,1,4530.0
RO Satara,Wai,2,1460.0
RO Satara,Satara,1,2290.0
RO Satara,Addl. Satara,3,2290.0
RO Satara,Khandala Ph-2,2,
RO Satara,Khandala Ph-1,13,
RO Satara,Phaltan,25,
RO SANGLI ,Sangli-Kupwad,1,3180.0
RO SANGLI ,Sangli-Miraj,2,3180.0
RO RATNAGIRI,Lote-Parshuram ,1,1700.0
RO PUNE-I,Chakan Ph-2,2,10370.0
RO NANDED,Deglur,1,500.0
RO NAGPUR,Butibori,1,3990.0
RO Jalgaon,Addl. Jalgaon,2,4540.0
RO Chhatrapati Sambhajinagar,Addl. Jalna Ph-2,1,1700.0
RO Chhatrapati Sambhajinagar,Shendra Five Star,1,5970.0
RO Chandrapur,Chandrapur,1,1100.0
RO Baramati,Indapur,3,1060.0
RO Baramati,Baramati,2,3290.0
RO AMRAVATI,Amravati,2,2110.0
RO AMRAVATI,Daryapur (Mini),1,600.0
RO AMRAVATI,Addl. Amravati (Nandgaon Peth),2,970.0
RO Akola,Akola (Central Goverment Growth Center),3,1800.0
RO Akola,Buldhana (Mini),1,600.0
RO Akola,Deoulgaon Raja (Mini),1,600.0
RO Ahilyanagar,Ahilyanagar,1,5330.0
